crisno,year,crisname,ccode1,actor1,ccode2,actor2,history,crisis,victory1,prevail1,victory2,prevail2,a1outcome,a2outcome,ssbn_count_2024_1,ssbn_count_2024_2,ssbn_start_1,ssbn_start_2,hydrogen_start_1,hydrogen_start_2,sss_start_1,sss_start_2,coder,kinetic,a1democracy,a2democracy,complexity,salience,independence,a2awareness,a1awareness,a2threat,a1threat,a1intensity,a2intensity
248,1972,North / South Yemen I,630,IRN,265,GDR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,630,IRN,680,YPR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,630,IRN,365,RUS,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,11,0,1,0,1,0,1,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,630,IRN,315,CZE,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,663,JOR,680,YPR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,663,JOR,265,GDR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,663,JOR,365,RUS,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,11,0,1,0,1,0,1,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,663,JOR,315,CZE,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,670,SAU,365,RUS,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,11,0,1,0,1,0,1,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,670,SAU,680,YPR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,670,SAU,315,CZE,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,670,SAU,265,GDR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,678,YAR,315,CZE,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,678,YAR,265,GDR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,678,YAR,365,RUS,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,11,0,1,0,1,0,1,yan,0,0,0,1,1,0,1,1,,,,
248,1972,North / South Yemen I,678,YAR,680,YPR,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,1,0,0,1,4,0,1,1,CONVENTIONAL,CONVENTIONAL,4,4
248,1972,North/South Yemen I,680,YPR,670,SAU,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
248,1972,North/South Yemen I,678,YAR,315,CZE,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
248,1972,North/South Yemen I,678,YAR,645,IRQ,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
248,1972,North/South Yemen I,678,YAR,680,YPR,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,1,4,0,1,1,CONVENTIONAL,,5,5
248,1972,North/South Yemen I,678,YAR,40,CUB,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
248,1972,North/South Yemen I,678,YAR,620,LIB,2,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
248,1972,North/South Yemen I,680,YPR,663,JOR,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,1,2,0,1,1,,,4,2
